id,name,title_en,title_de,metadata_created,metadata_modified,days_since_modified,organization_name,publisher,description_length,num_keywords,num_themes,num_resources,resource_formats,has_api,license_id,completeness_score,title_length
3f8295e7-6758-44a9-b1b5-6cabfa5241e5,bildersammlung-max-van-berchem,Max van Berchem image collection,Bildersammlung Max van Berchem,2025-05-05T07:43:01.040326,2026-03-06T14:51:17.297827,,schweizerische-nationalbibliothek-nb,"{'url': '', 'name': {'de': 'Schweizerische Nationalbibliothek (NB)', 'fr': 'Bibliothèque nationale suisse (BN)', 'en': 'Swiss National Library (NL)', 'it': 'Biblioteca nazionale svizzera (BN)'}}",877,10,1,3,"JSON,ZIP,CSV",False,,0.7222,43
0c8b2a1e-9ccc-43aa-8b6c-345c2e17fc76,parkplatzbelegung-stadt-frauenfeld,,Parkplatzbelegung Stadt Frauenfeld,2024-09-02T11:07:13.968894,2026-03-06T13:37:13.561663,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",1936,21,2,15,"CSV,JSON,OCTET,JSON,GPX,JSON,KML,TXT,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,ZIP,XLS",False,,0.7222,34
9a272570-c8c0-4d5b-b872-755f6e7c6a29,hydrometrie-thurgau-pegel-m-u-m,,Hydrometrie Thurgau - Pegel (m ü. M.),2025-08-27T15:22:04.051702,2026-03-06T13:37:07.029410,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",990,10,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,37
66424ce7-5876-48d2-b376-77dce51b7ad5,neu-erstellte-wohnungen-nach-anzahl-zimmer-nach-politischer-gemeinde,,Neu erstellte Wohnungen nach Anzahl Zimmer nach Politischer Gemeinde,2023-12-20T11:48:47.023595,2026-03-06T13:37:01.419486,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",361,5,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7778,68
ebb52176-6f8b-43c7-b700-16ed3fb9898d,hinweisinventar-bauten-kanton-thurgau-stand-2021,,Hinweisinventar Bauten Kanton Thurgau (Stand 2021),2022-02-28T11:05:21.660383,2026-03-06T13:36:57.555209,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",551,13,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,50
028a977c-983d-414e-8789-7bd7f68964d7,kindertagesstatten-im-kanton-thurgau-stand-dezember-2023,,Kindertagesstätten im Kanton Thurgau (Stand Dezember 2023),2025-01-22T11:32:18.819128,2026-03-06T13:36:53.592753,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",221,5,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,58
6bb05375-5392-442d-972c-d98a0bef8bed,politische-gemeinden-nach-bezirken-kanton-thurgau,,Politische Gemeinden nach Bezirken Kanton Thurgau,2022-02-28T11:03:34.267580,2026-03-06T13:36:49.782819,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",611,5,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,49
d5c0d743-cb0f-4133-a409-692ca05f5c6b,zupendler-nach-gemeinde,,Zupendler nach Gemeinde,2025-03-27T11:17:30.723142,2026-03-06T13:36:45.676416,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",486,8,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7778,23
9f27d503-fe5f-4b57-85cc-69e0877a4309,meteoschweiz-manuelle-niederschlagsstationen-tageswerte-affeltrangen-aft,,MeteoSchweiz Manuelle Niederschlagsstationen: Tageswerte - Affeltrangen (AFT),2025-08-29T12:04:33.908184,2026-03-06T13:36:41.880699,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",394,6,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,77
9f2dfb35-285b-463a-9f7b-bf43a23a25c7,covid-19-fallzahlen-kanton-thurgau-auf-ebene-bezirk,COVID_19 Number of Cases Canton Thurgau by District,COVID-19-Fallzahlen Kanton Thurgau auf Ebene Bezirk,2022-02-28T11:03:50.706386,2026-03-06T13:36:33.335343,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",496,12,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7778,51
cf2e058f-df10-4117-b371-fe5417ee6d1e,lotteriefonds-kanton-thurgau-zugesprochene-beitrage,,Lotteriefonds Kanton Thurgau: Zugesprochene Beiträge,2024-01-25T12:47:43.890539,2026-03-06T13:36:28.617031,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",547,4,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7778,52
021a4e78-c1fc-4c11-9684-59905ed5bf58,landwirtschaftliche-tierbestande-im-kanton-thurgau1,,Landwirtschaftliche Tierbestände im Kanton Thurgau,2023-04-13T11:03:10.648223,2026-03-06T13:36:17.620174,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",729,7,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7778,50
