system_a,system_b,metric,mean_difference,ci_lower,ci_upper
Fuzzy,BM25,MAP,-0.066617,-0.173175,0.020371
Fuzzy,Linear Weighted,MAP,0.031059,-0.026911,0.099782
Fuzzy,Weighted Sum,MAP,0.146545,0.011995,0.30877
Fuzzy,Portal,MAP,0.146545,0.011995,0.30877
Fuzzy,Semantic,MAP,-0.112175,-0.216931,-0.027252
BM25,Linear Weighted,MAP,0.097676,0.020572,0.195133
BM25,Weighted Sum,MAP,0.213162,0.078443,0.37183
BM25,Portal,MAP,0.213162,0.078443,0.37183
BM25,Semantic,MAP,-0.045558,-0.110873,0.0
Linear Weighted,Weighted Sum,MAP,0.115486,-0.001254,0.280262
Linear Weighted,Portal,MAP,0.115486,-0.001254,0.280262
Linear Weighted,Semantic,MAP,-0.143234,-0.267252,-0.040556
Weighted Sum,Portal,MAP,0.0,0.0,0.0
Weighted Sum,Semantic,MAP,-0.258721,-0.422387,-0.107551
Portal,Semantic,MAP,-0.258721,-0.422387,-0.107551
Fuzzy,BM25,P@5,-0.04,-0.106667,0.013333
Fuzzy,Linear Weighted,P@5,0.0,-0.053333,0.066667
Fuzzy,Weighted Sum,P@5,0.04,-0.026667,0.106667
Fuzzy,Portal,P@5,0.04,-0.026667,0.106667
Fuzzy,Semantic,P@5,-0.066667,-0.146667,0.0
BM25,Linear Weighted,P@5,0.04,0.0,0.08
BM25,Weighted Sum,P@5,0.08,0.04,0.133333
BM25,Portal,P@5,0.08,0.04,0.133333
BM25,Semantic,P@5,-0.026667,-0.08,0.0
Linear Weighted,Weighted Sum,P@5,0.04,0.0,0.08
Linear Weighted,Portal,P@5,0.04,0.0,0.08
Linear Weighted,Semantic,P@5,-0.066667,-0.133333,-0.013333
Weighted Sum,Portal,P@5,0.0,0.0,0.0
Weighted Sum,Semantic,P@5,-0.106667,-0.2,-0.04
Portal,Semantic,P@5,-0.106667,-0.2,-0.04
Fuzzy,BM25,nDCG@10,-0.077544,-0.164965,-0.006225
Fuzzy,Linear Weighted,nDCG@10,0.034797,-0.010503,0.084983
Fuzzy,Weighted Sum,nDCG@10,0.109792,0.00305,0.239502
Fuzzy,Portal,nDCG@10,0.109792,0.00305,0.239502
Fuzzy,Semantic,nDCG@10,-0.115338,-0.200341,-0.042943
BM25,Linear Weighted,nDCG@10,0.112341,0.036456,0.202583
BM25,Weighted Sum,nDCG@10,0.187336,0.069218,0.318044
BM25,Portal,nDCG@10,0.187336,0.069218,0.318044
BM25,Semantic,nDCG@10,-0.037794,-0.109704,0.015242
Linear Weighted,Weighted Sum,nDCG@10,0.074994,-0.020862,0.206545
Linear Weighted,Portal,nDCG@10,0.074994,-0.020862,0.206545
Linear Weighted,Semantic,nDCG@10,-0.150135,-0.264586,-0.049689
Weighted Sum,Portal,nDCG@10,0.0,0.0,0.0
Weighted Sum,Semantic,nDCG@10,-0.225129,-0.363775,-0.094631
Portal,Semantic,nDCG@10,-0.225129,-0.363775,-0.094631
Fuzzy,BM25,MRR,-0.138889,-0.294444,0.0
Fuzzy,Linear Weighted,MRR,0.056111,-0.056667,0.166667
Fuzzy,Weighted Sum,MRR,0.131958,-0.026667,0.308582
Fuzzy,Portal,MRR,0.131958,-0.026667,0.308582
Fuzzy,Semantic,MRR,-0.188889,-0.333333,-0.066667
BM25,Linear Weighted,MRR,0.195,0.05,0.363333
BM25,Weighted Sum,MRR,0.270847,0.106667,0.466456
BM25,Portal,MRR,0.270847,0.106667,0.466456
BM25,Semantic,MRR,-0.05,-0.15,0.0
Linear Weighted,Weighted Sum,MRR,0.075847,-0.071296,0.249033
Linear Weighted,Portal,MRR,0.075847,-0.071296,0.249033
Linear Weighted,Semantic,MRR,-0.245,-0.433375,-0.083333
Weighted Sum,Portal,MRR,0.0,0.0,0.0
Weighted Sum,Semantic,MRR,-0.320847,-0.529101,-0.112593
Portal,Semantic,MRR,-0.320847,-0.529101,-0.112593
