perturbation,variable,term,membership_type,breakpoint_index,direction,original_value,perturbed_value,effective_value,MAP,nDCG@10,P@5,MRR,delta_MAP,delta_nDCG@10,delta_P@5,delta_MRR,kendall_tau,average_rank_displacement
recency.very_recent.b1.plus_10,recency,very_recent,trimf,1,plus_10,1.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.very_recent.b1.minus_10,recency,very_recent,trimf,1,minus_10,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.very_recent.b2.plus_10,recency,very_recent,trimf,2,plus_10,1.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.very_recent.b2.minus_10,recency,very_recent,trimf,2,minus_10,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.very_recent.b3.plus_10,recency,very_recent,trimf,3,plus_10,1.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653333,1.426667
recency.very_recent.b3.minus_10,recency,very_recent,trimf,3,minus_10,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.recent.b1.plus_10,recency,recent,trapmf,1,plus_10,1.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.recent.b1.minus_10,recency,recent,trapmf,1,minus_10,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.recent.b2.plus_10,recency,recent,trapmf,2,plus_10,1.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.recent.b2.minus_10,recency,recent,trapmf,2,minus_10,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.recent.b3.plus_10,recency,recent,trapmf,3,plus_10,1.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.recent.b3.minus_10,recency,recent,trapmf,3,minus_10,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.recent.b4.plus_10,recency,recent,trapmf,4,plus_10,49.5,54.45,54.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.recent.b4.minus_10,recency,recent,trapmf,4,minus_10,49.5,44.55,44.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
