system_a,system_b,metric,statistic,p_value,corrected_p_value,significant,n_queries,note
Fuzzy,BM25,MAP,5.0,0.24886387493792206,0.881482,False,15,
Fuzzy,Linear Weighted,MAP,6.0,0.3454475304692257,0.881482,False,15,
Fuzzy,Weighted Sum,MAP,4.0,0.09096894797535775,0.727752,False,15,
Fuzzy,Portal,MAP,4.0,0.09096894797535775,0.727752,False,15,
Fuzzy,Semantic,MAP,0.0,0.027707849358079864,0.304786,False,15,
BM25,Linear Weighted,MAP,1.0,0.046399461870904594,0.431144,False,15,
BM25,Weighted Sum,MAP,0.0,0.011718685599768628,0.17578,False,15,
BM25,Portal,MAP,0.0,0.011718685599768628,0.17578,False,15,
BM25,Semantic,MAP,0.0,0.10880943004054569,0.727752,False,15,
Linear Weighted,Weighted Sum,MAP,6.0,0.17629637444051116,0.881482,False,15,
Linear Weighted,Portal,MAP,6.0,0.17629637444051116,0.881482,False,15,
Linear Weighted,Semantic,MAP,0.0,0.043114446783075355,0.431144,False,15,
Weighted Sum,Portal,MAP,0.0,1.0,1.0,False,15,identical_vectors
Weighted Sum,Semantic,MAP,0.0,0.011718685599768628,0.17578,False,15,
Portal,Semantic,MAP,0.0,0.011718685599768628,0.17578,False,15,
Fuzzy,BM25,P@5,3.0,0.4614509878333607,1.0,False,15,
Fuzzy,Linear Weighted,P@5,3.0,1.0,1.0,False,15,
Fuzzy,Weighted Sum,P@5,2.0,0.25683925795785656,1.0,False,15,
Fuzzy,Portal,P@5,2.0,0.25683925795785656,1.0,False,15,
Fuzzy,Semantic,P@5,3.0,0.22067136191984693,1.0,False,15,
BM25,Linear Weighted,P@5,0.0,0.10247043485974937,1.0,False,15,
BM25,Weighted Sum,P@5,0.0,0.023140931308743732,0.347114,False,15,
BM25,Portal,P@5,0.0,0.023140931308743732,0.347114,False,15,
BM25,Semantic,P@5,0.0,0.31731050786291415,1.0,False,15,
Linear Weighted,Weighted Sum,P@5,0.0,0.10247043485974937,1.0,False,15,
Linear Weighted,Portal,P@5,0.0,0.10247043485974937,1.0,False,15,
Linear Weighted,Semantic,P@5,0.0,0.06559969214707187,0.721597,False,15,
Weighted Sum,Portal,P@5,0.0,1.0,1.0,False,15,identical_vectors
Weighted Sum,Semantic,P@5,0.0,0.025596805385948558,0.347114,False,15,
Portal,Semantic,P@5,0.0,0.025596805385948558,0.347114,False,15,
Fuzzy,BM25,nDCG@10,2.0,0.07473549830588248,0.597884,False,15,
Fuzzy,Linear Weighted,nDCG@10,5.0,0.24886387493792206,1.0,False,15,
Fuzzy,Weighted Sum,nDCG@10,6.0,0.09289194088370534,0.650244,False,15,
Fuzzy,Portal,nDCG@10,6.0,0.09289194088370534,0.650244,False,15,
Fuzzy,Semantic,nDCG@10,0.0,0.017960477526078766,0.233486,False,15,
BM25,Linear Weighted,nDCG@10,0.0,0.027707849358079864,0.277078,False,15,
BM25,Weighted Sum,nDCG@10,3.0,0.020879263166351643,0.250551,False,15,
BM25,Portal,nDCG@10,3.0,0.020879263166351643,0.250551,False,15,
BM25,Semantic,nDCG@10,3.0,0.4652088184521418,1.0,False,15,
Linear Weighted,Weighted Sum,nDCG@10,13.0,0.4838398513935682,1.0,False,15,
Linear Weighted,Portal,nDCG@10,13.0,0.4838398513935682,1.0,False,15,
Linear Weighted,Semantic,nDCG@10,0.0,0.027707849358079864,0.277078,False,15,
Weighted Sum,Portal,nDCG@10,0.0,1.0,1.0,False,15,identical_vectors
Weighted Sum,Semantic,nDCG@10,0.0,0.011718685599768628,0.17578,False,15,
Portal,Semantic,nDCG@10,0.0,0.011718685599768628,0.17578,False,15,
Fuzzy,BM25,MRR,1.0,0.07414989773822231,0.593199,False,15,
Fuzzy,Linear Weighted,MRR,6.5,0.3990751965482372,1.0,False,15,
Fuzzy,Weighted Sum,MRR,6.0,0.17629637444051116,1.0,False,15,
Fuzzy,Portal,MRR,6.0,0.17629637444051116,1.0,False,15,
Fuzzy,Semantic,MRR,0.0,0.03389485352468927,0.390217,False,15,
BM25,Linear Weighted,MRR,0.0,0.04216819709715596,0.421682,False,15,
BM25,Weighted Sum,MRR,0.0,0.026014479622894226,0.390217,False,15,
BM25,Portal,MRR,0.0,0.026014479622894226,0.390217,False,15,
BM25,Semantic,MRR,0.0,0.31731050786291415,1.0,False,15,
Linear Weighted,Weighted Sum,MRR,7.0,0.463071015014588,1.0,False,15,
Linear Weighted,Portal,MRR,7.0,0.463071015014588,1.0,False,15,
Linear Weighted,Semantic,MRR,0.0,0.04216819709715596,0.421682,False,15,
Weighted Sum,Portal,MRR,0.0,1.0,1.0,False,15,identical_vectors
Weighted Sum,Semantic,MRR,0.0,0.026014479622894226,0.390217,False,15,
Portal,Semantic,MRR,0.0,0.026014479622894226,0.390217,False,15,
