query_id,system_name,MAP,P@5,nDCG@10,MRR
ENV-01,Fuzzy,0.0,0.0,0.0,0.0
ENV-01,BM25,0.0,0.0,0.0,0.0
ENV-01,Metadata,0.0,0.0,0.0,0.0
ENV-01,Portal,0.0,0.0,0.0,0.0
ENV-01,Semantic,0.0,0.0,0.0,0.0
ENV-02,Fuzzy,0.547619,0.4,0.705074,0.5
ENV-02,BM25,0.942857,0.8,0.992577,1.0
ENV-02,Metadata,0.75,0.6,0.941616,1.0
ENV-02,Portal,0.833333,0.6,0.97611,1.0
ENV-02,Semantic,0.522222,0.4,0.62678,0.5
ENV-03,Fuzzy,0.821429,0.8,0.939412,1.0
ENV-03,BM25,0.821088,0.6,0.896293,1.0
ENV-03,Metadata,0.982143,1.0,0.980961,1.0
ENV-03,Portal,0.982143,1.0,0.955132,1.0
ENV-03,Semantic,0.530442,0.4,0.579707,0.25
ENV-04,Fuzzy,0.798611,0.6,0.922326,1.0
ENV-04,BM25,0.408333,0.4,0.627683,0.5
ENV-04,Metadata,0.667857,0.6,0.839654,1.0
ENV-04,Portal,0.816667,0.6,0.926758,1.0
ENV-04,Semantic,0.582143,0.4,0.801479,1.0
ENV-05,Fuzzy,1.0,1.0,1.0,1.0
ENV-05,BM25,1.0,1.0,1.0,1.0
ENV-05,Metadata,1.0,1.0,1.0,1.0
ENV-05,Portal,1.0,1.0,1.0,1.0
ENV-05,Semantic,0.8,1.0,0.870125,1.0
MOB-01,Fuzzy,0.790437,0.8,0.870096,1.0
MOB-01,BM25,0.707103,0.8,0.748461,0.5
MOB-01,Metadata,0.707103,0.8,0.755176,0.5
MOB-01,Portal,0.707103,0.8,0.755176,0.5
MOB-01,Semantic,0.617103,0.8,0.651338,0.5
MOB-02,Fuzzy,0.734524,0.8,0.798265,0.5
MOB-02,BM25,0.702778,0.8,0.78849,0.5
MOB-02,Metadata,1.0,1.0,1.0,1.0
MOB-02,Portal,0.97619,1.0,0.993078,1.0
MOB-02,Semantic,0.734524,0.8,0.798265,0.5
MOB-03,Fuzzy,0.988889,1.0,0.999016,1.0
MOB-03,BM25,0.988889,1.0,0.999016,1.0
MOB-03,Metadata,0.988889,1.0,0.999016,1.0
MOB-03,Portal,0.988889,1.0,0.999016,1.0
MOB-03,Semantic,0.888889,1.0,0.975247,1.0
MOB-04,Fuzzy,0.684425,0.6,0.71925,0.5
MOB-04,BM25,0.760268,0.8,0.814773,0.5
MOB-04,Metadata,0.986111,1.0,0.988887,1.0
MOB-04,Portal,1.0,1.0,1.0,1.0
MOB-04,Semantic,0.864435,0.8,0.94835,1.0
MOB-05,Fuzzy,1.0,1.0,1.0,1.0
MOB-05,BM25,1.0,1.0,1.0,1.0
MOB-05,Metadata,1.0,1.0,1.0,1.0
MOB-05,Portal,1.0,1.0,1.0,1.0
MOB-05,Semantic,1.0,1.0,1.0,1.0
XD-01,Fuzzy,1.0,1.0,1.0,1.0
XD-01,BM25,1.0,1.0,1.0,1.0
XD-01,Metadata,1.0,1.0,1.0,1.0
XD-01,Portal,1.0,1.0,1.0,1.0
XD-01,Semantic,1.0,1.0,1.0,1.0
XD-02,Fuzzy,0.775926,0.6,0.921422,1.0
XD-02,BM25,0.775926,0.6,0.92716,1.0
XD-02,Metadata,0.680688,0.4,0.870221,1.0
XD-02,Portal,0.775926,0.6,0.924559,1.0
XD-02,Semantic,0.709259,0.6,0.88767,1.0
XD-03,Fuzzy,1.0,1.0,0.963466,1.0
XD-03,BM25,1.0,1.0,0.979103,1.0
XD-03,Metadata,1.0,1.0,0.984025,1.0
XD-03,Portal,1.0,1.0,0.984025,1.0
XD-03,Semantic,0.9,1.0,0.914374,1.0
XD-04,Fuzzy,0.878889,1.0,0.840666,1.0
XD-04,BM25,0.815437,0.8,0.842634,1.0
XD-04,Metadata,0.815437,0.8,0.876302,1.0
XD-04,Portal,0.815437,0.8,0.876302,1.0
XD-04,Semantic,0.790437,0.8,0.817269,1.0
XD-05,Fuzzy,0.737585,0.6,0.689536,1.0
XD-05,BM25,0.651871,0.4,0.891411,1.0
XD-05,Metadata,0.808333,0.6,0.956491,1.0
XD-05,Portal,0.808333,0.6,0.956491,1.0
XD-05,Semantic,0.542347,0.4,0.566578,0.333333
