system_name,metric,mean,median,std,min,max,ci_lower,ci_upper
Fuzzy,MAP,0.783889,0.798611,0.248244,0.0,1.0,0.641591,0.926187
Fuzzy,P@5,0.746667,0.8,0.277769,0.0,1.0,0.587444,0.905889
Fuzzy,nDCG@10,0.824569,0.921422,0.245047,0.0,1.0,0.684103,0.965034
Fuzzy,MRR,0.833333,1.0,0.298142,0.0,1.0,0.662433,1.004234
BM25,MAP,0.771637,0.815437,0.263349,0.0,1.0,0.62068,0.922593
BM25,P@5,0.733333,0.8,0.279682,0.0,1.0,0.573014,0.893652
BM25,nDCG@10,0.83384,0.896293,0.247644,0.0,1.0,0.691886,0.975794
BM25,MRR,0.8,1.0,0.305505,0.0,1.0,0.624879,0.975121
Metadata,MAP,0.825771,0.982143,0.255169,0.0,1.0,0.679503,0.972038
Metadata,P@5,0.786667,1.0,0.287209,0.0,1.0,0.622033,0.9513
Metadata,nDCG@10,0.87949,0.980961,0.245764,0.0,1.0,0.738614,1.020366
Metadata,MRR,0.9,1.0,0.270801,0.0,1.0,0.744772,1.055228
Portal,MAP,0.846935,0.97619,0.247354,0.0,1.0,0.705147,0.988723
Portal,P@5,0.8,1.0,0.273252,0.0,1.0,0.643367,0.956633
Portal,nDCG@10,0.889777,0.97611,0.246149,0.0,1.0,0.74868,1.030874
Portal,MRR,0.9,1.0,0.270801,0.0,1.0,0.744772,1.055228
Semantic,MAP,0.698787,0.734524,0.244693,0.0,1.0,0.558524,0.839049
Semantic,P@5,0.693333,0.8,0.299926,0.0,1.0,0.52141,0.865256
Semantic,nDCG@10,0.762479,0.817269,0.249361,0.0,1.0,0.619541,0.905417
Semantic,MRR,0.738889,1.0,0.340025,0.0,1.0,0.54398,0.933798
